key,time,event
u,1723989262.0998275,release
s,1723989262.1226919,release
a,1723989262.1804104,release
d,1723989262.2905257,press
e,1723989262.5060837,press
w,1723989262.5259278,press
d,1723989262.5423582,release
o,1723989262.596887,press
i,1723989262.7045934,press
e,1723989262.7293308,release
f,1723989262.818078,press
w,1723989262.8573523,release
i,1723989262.8625667,release
o,1723989262.942322,release
e,1723989262.9656682,press
w,1723989262.972989,press
f,1723989262.9853659,release
Key.space,1723989263.0242045,press
e,1723989263.1246455,release
w,1723989263.1422353,release
Key.space,1723989263.1779113,release
a,1723989263.2982504,press
s,1723989263.3222065,press
u,1723989263.3778994,press
i,1723989263.5024529,press
u,1723989263.5255647,release
a,1723989263.5422807,release
s,1723989263.5553954,release
u,1723989263.6561265,press
d,1723989263.6742532,press
e,1723989263.7357538,press
d,1723989263.7579,release
i,1723989263.7792728,release
u,1723989263.8557796,release
e,1723989263.9320564,release
d,1723989263.9338849,press
j,1723989263.976331,press
d,1723989264.04877,release
j,1723989264.0651188,release
s,1723989264.1052868,press
j,1723989264.1830795,press
f,1723989264.243704,press
s,1723989264.2475374,release
k,1723989264.2680779,press
j,1723989264.3154104,release
f,1723989264.3753486,release
s,1723989264.3837044,press
k,1723989264.3902235,release
a,1723989264.4154642,press
j,1723989264.441477,press
d,1723989264.52251,press
a,1723989264.5348785,release
s,1723989264.5744617,release
i,1723989264.6373096,press
j,1723989264.7553122,release
w,1723989264.8047621,press
e,1723989264.8049986,press
d,1723989264.825905,release
e,1723989264.864788,release
i,1723989264.8922951,release
Key.space,1723989264.916317,press
w,1723989264.9657137,release
Key.space,1723989265.0439653,release
s,1723989265.133863,press
a,1723989265.137688,press
u,1723989265.1813514,press
i,1723989265.2084901,press
u,1723989265.2562714,release
a,1723989265.2979052,release
d,1723989265.328768,press
s,1723989265.3886983,release
u,1723989265.4283857,press
a,1723989265.532083,press
d,1723989265.5601342,release
i,1723989265.5749087,release
u,1723989265.6341243,release
d,1723989265.6921031,press
i,1723989265.765576,press
a,1723989265.7820373,release
w,1723989265.9260368,press
i,1723989265.9767885,release
u,1723989266.0113976,press
e,1723989266.013791,press
d,1723989266.0280247,release
e,1723989266.1020315,release
u,1723989266.1355686,release
w,1723989266.2079287,release
s,1723989266.5956657,press
d,1723989266.7774017,press
j,1723989266.808686,press
